中文名称,英文全称,PubChem CID
(20S)-原人参二醇,(20S)-PROTOPANAXADIOL,11213350
1-甲基乙内酰脲-2-酰亚胺,1-METHYLHYDANTOIN-2-IMIDE,588
1-萘酚,1-NAPHTHOL,7005
"1,4-丁二醇","1,4-BUTANEDIOL",8064
"1,5-萘二酚","1,5-NAPHTHALENEDIOL",6749
"1,5-戊二醇","1,5-PENTANEDIOL",8105
2-氨基-6-氯-4-硝基苯酚,2-AMINO-6-CHLORO-4-NITROPHENOL,4679699
"2-溴-2-硝基丙烷-1,3-二醇","2-BROMO-2-NITROPROPANE-1,3-DIOL",2450
2-甲基-5-羟乙氨基苯酚,2-METHYL-5-HYDROXYETHYLAMINOPHENOL,134396
2-甲基苯并噻唑,2-METHYLBENZOTHIAZOLE,8446
2-甲基间苯二酚,2-METHYLRESORCINOL,11843
2-O-乙基抗坏血酸,2-O-ETHYL ASCORBIC ACID,54694369
"2,4-二氨基苯氧基乙醇硫酸盐","2,4-DIAMINOPHENOXYETHANOL SULFATE",21895813
"2,7-萘二酚","2,7-NAPHTHALENEDIOL",11397
20(R)-人参皂苷 Rg2,20(R)-GINSENOSIDE RG2,75412551
20(R)-人参皂苷 Rg3,20(R)-GINSENOSIDE RG3,46887680
20(R)-人参皂苷 Rh1,20(R)-GINSENOSIDE RH1,21599923
20(R)-人参皂苷 Rh2,20(R)-GINSENOSIDE RH2,54580480
20(S)-人参皂苷 Rg3,20(S)-GINSENOSIDE RG3,9918693
20(S)-人参皂苷 Rh2,20(S)-GINSENOSIDE RH2,119307
3-硝基对羟乙氨基酚,3-NITRO-P-HYDROXYETHYLAMINOPHENOL,5488102
3-O-乙基抗坏血酸,3-O-ETHYL ASCORBIC ACID,150736
4-氨基-3-硝基苯酚,4-AMINO-3-NITROPHENOL,3758882
4-氨基间甲酚,4-AMINO-M-CRESOL,17819
4-丁基间苯二酚,4-BUTYLRESORCINOL,205912
4-氯间苯二酚,4-CHLORORESORCINOL,1731
4-羟基苯甲酸,4-HYDROXYBENZOIC ACID,135
4-羟丙氨基-3-硝基苯酚,4-HYDROXYPROPYLAMINO-3-NITROPHENOL,5463795
5-氨基-4-氯邻甲酚,5-AMINO-4-CHLORO-O-CRESOL,10176241
5-氨基-4-氯邻甲酚盐酸盐,5-AMINO-4-CHLORO-O-CRESOL HCL,22153846
5-氨基-6-氯邻甲酚,5-AMINO-6-CHLORO-O-CRESOL,157641
"5-溴-5-硝基-1,3-二𫫇烷","5-BROMO-5-NITRO-1,3-DIOXANE",1807
6-氨基间甲酚,6-AMINO-M-CRESOL,76082
6-羟基吲哚,6-HYDROXYINDOLE,524508
7-脱氢胆甾醇,7-DEHYDROCHOLESTEROL,439423
对乙酰氨基酚,ACETAMINOPHEN,1983
乙酸,ACETIC ACID,176
丙酮,ACETONE,180
乙酰基肉碱盐酸盐,ACETYL CARNITINE HCL,2733928
乙酰半胱氨酸,ACETYL CYSTEINE,12035
乙酰谷氨酸,ACETYL GLUTAMIC ACID,70914
乙酰羟脯氨酸,ACETYL HYDROXYPROLINE,65784
乙酰蛋氨酸,ACETYL METHIONINE,448580
乙酰酪氨酸,ACETYL TYROSINE,68310
腺嘌呤,ADENINE,190
腺苷,ADENOSINE,60961
三磷酸腺苷,ADENOSINE TRIPHOSPHATE,5957
己二酸,ADIPIC ACID,196
丙氨酸,ALANINE,5950
乙醇,ALCOHOL,702
芦荟苦素,ALOESIN,160190
α-熊果苷,ALPHA-ARBUTIN,158637
α-松油烯,ALPHA-TERPINENE,7462
脒基脯氨酸,AMIDINOPROLINE,11643967
氨乙基丙二醇,AMINOETHYL PROPANEDIOL,8282
